sequenced_tid	corrected_TID
tid_10	tid_10
tid_100	tid_100
tid_1000	tid_1000
tid_1002	tid_1002
tid_1003	tid_1003
tid_1004	tid_1004
tid_1005	tid_1005
tid_1006	tid_1006
tid_1007	tid_1007
tid_1008	tid_1008
tid_1009	tid_1009
tid_1010	tid_1010
tid_1012	tid_1012
tid_1013	tid_1013
tid_1014	tid_1014
tid_1016	tid_1016
tid_1018	tid_1018
tid_1019	tid_1019
tid_1020	tid_1020
tid_1022	tid_1022
tid_1023	tid_1023
tid_1024	tid_1024
tid_1025	tid_1025
tid_1026	tid_1026
tid_1027	tid_1027
tid_1028	tid_1028
tid_103	tid_103
tid_1030	tid_1030
tid_1031	tid_1031
tid_1032	tid_1032
tid_1033	tid_1033
tid_1034	tid_1034
tid_1035	tid_1191
tid_1036	tid_1036
tid_1037	tid_1037
tid_1038	tid_1038
tid_1039	tid_1039
tid_104	tid_104
tid_1040	tid_1040
tid_1041	tid_1041
tid_1042	tid_1042
tid_1043	tid_1043
tid_1044	tid_1044
tid_1046	tid_1046
tid_1047	tid_1047
tid_1048	tid_1048
tid_105	tid_105
tid_1050	tid_1050
tid_1051	tid_1051
tid_1052	tid_1052
tid_1053	tid_1053
tid_1056	tid_1056
tid_1057	tid_1057
tid_1059	tid_1059
tid_106	tid_106
tid_1060	tid_1060
tid_1062	tid_1062
tid_1063	tid_1063
tid_1064	tid_1064
tid_1065	tid_1055
tid_1066	tid_1066
tid_1068	tid_1068
tid_1069	tid_1069
tid_107	tid_107
tid_1070	tid_1070
tid_1071	tid_1071
tid_1072	tid_1072
tid_1073	tid_1073
tid_1074	tid_1074
tid_1075	tid_1075
tid_1076	tid_1076
tid_1077	tid_1077
tid_1078	tid_1078
tid_1079	tid_1079
tid_108	tid_108
tid_1080	tid_1080
tid_1081	tid_1081
tid_1082	tid_1082
tid_1083	tid_1083
tid_1085	tid_1085
tid_1086	tid_1086
tid_1087	tid_1087
tid_1089	tid_1089
tid_109	tid_109
tid_1090	tid_1090
tid_1092	tid_1338
tid_1093	tid_1093
tid_1094	tid_1094
tid_1096	tid_1096
tid_1097	tid_1097
tid_1098	tid_1098
tid_1099	tid_1099
tid_110	tid_110
tid_1100	tid_1100
tid_1101	tid_1101
tid_1102	tid_1102
tid_1103	tid_1103
tid_1104	tid_1104
tid_1105	tid_1105
tid_1106	tid_1106
tid_1107	tid_1107
tid_1109	tid_1109
tid_111	tid_111
tid_1110	tid_1110
tid_1112	tid_1112
tid_1113	tid_1113
tid_1115	tid_1115
tid_1116	tid_1116
tid_112	tid_112
tid_1120	tid_1120
tid_1121	tid_1121
tid_1123	tid_1123
tid_1125	tid_1125
tid_1127	tid_1127
tid_1129	tid_1129
tid_113	tid_113
tid_1132	tid_1132
tid_1133	tid_1133
tid_1138	tid_1138
tid_114	tid_114
tid_1140	tid_1140
tid_1141	tid_1141
tid_1142	tid_1142
tid_1145	tid_1145
tid_115	tid_115
tid_1150	tid_1150
tid_1151	tid_1151
tid_1155	tid_1155
tid_1156	tid_1156
tid_1157	tid_1157
tid_1165	tid_1165
tid_1166	tid_1166
tid_1168	tid_1168
tid_1169	tid_1169
tid_117	tid_117
tid_1173	tid_1173
tid_1176	tid_1176
tid_1177	tid_1177
tid_1178	tid_1178
tid_1179	tid_1179
tid_118	tid_118
tid_1180	tid_1180
tid_1182	tid_1182
tid_1185	tid_1185
tid_1186	tid_1186
tid_1189	tid_1189
tid_1190	tid_1190
tid_1192	tid_1192
tid_1193	tid_1193
